"dataset","eval_protocol","model","eval_unit","fold","fold_subject","test_subject","validation_subject","n_train_windows","n_val_windows","n_test_windows","n_test_windows_raw","n_train_eval_samples","n_val_eval_samples","n_test_eval_samples","n_test_predictions","n_test_classes","total_params","trainable_params","non_trainable_params","parameter_size_mb_float32","accuracy","balanced_accuracy","macro_f1","weighted_f1","macro_precision","macro_recall","feature_set","window_type","task","sessions"
"pamap2","loso","gnn_lstm","sequence","1","101","101","102","22221","4095","3883","3883","22158","4086","3874","3874","12","246412","246412","0","0.9399871826171875","0.7901393908105317","0.7620555634760287","0.7381748423453692","0.7618018662092984","0.8268892199470836","0.7620555634760287","acc16_gyro_hr","overlapping","protocol12","protocol"
"pamap2","loso","gnn_lstm","sequence","2","102","102","103","23396","2708","4095","4095","23333","2699","4086","4086","12","246412","246412","0","0.9399871826171875","0.819627998042095","0.8128496778506044","0.8033387507673271","0.8197672349418744","0.8283083398799712","0.8128496778506044","acc16_gyro_hr","overlapping","protocol12","protocol"
"pamap2","loso","gnn_lstm","sequence","3","103","103","104","23892","3599","2708","2708","23829","3590","2699","2699","8","246412","246412","0","0.9399871826171875","0.8532789922193404","0.835483965056241","0.5686720784442202","0.8604979435854889","0.5892556220062474","0.556989310037494","acc16_gyro_hr","overlapping","protocol12","protocol"
"pamap2","loso","gnn_lstm","sequence","4","104","104","105","22364","4236","3599","3599","22301","4227","3590","3590","10","246412","246412","0","0.9399871826171875","0.7498607242339833","0.7670105432754836","0.6078537220116191","0.72625307443712","0.6817769523010692","0.6391754527295697","acc16_gyro_hr","overlapping","protocol12","protocol"
"pamap2","loso","gnn_lstm","sequence","5","105","105","106","22076","3887","4236","4236","22013","3878","4227","4227","12","246412","246412","0","0.9399871826171875","0.8485923823042347","0.8307941118502574","0.8214664916534429","0.8458636138665306","0.8375524209552448","0.8307941118502574","acc16_gyro_hr","overlapping","protocol12","protocol"
"pamap2","loso","gnn_lstm","sequence","6","106","106","107","22695","3617","3887","3887","22632","3608","3878","3878","12","246412","246412","0","0.9399871826171875","0.868231046931408","0.7993749273919245","0.8013574338459023","0.872814874887355","0.8120680775921417","0.7993749273919245","acc16_gyro_hr","overlapping","protocol12","protocol"
"pamap2","loso","gnn_lstm","sequence","7","107","107","108","22506","4076","3617","3617","22443","4067","3608","3608","11","246412","246412","0","0.9399871826171875","0.8497782705099778","0.8075806640492867","0.7442885973873667","0.8529145033150382","0.7618192490038916","0.7402822753785129","acc16_gyro_hr","overlapping","protocol12","protocol"
"pamap2","loso","gnn_lstm","sequence","8","108","108","109","26025","98","4076","4076","25962","89","4067","4067","12","246412","246412","0","0.9399871826171875","0.5045488074747971","0.5393559064729158","0.4378277240362569","0.4357987408697473","0.48793250090976725","0.5393559064729158","acc16_gyro_hr","overlapping","protocol12","protocol"
"pamap2","loso","gnn_lstm","sequence","9","109","109","101","26218","3883","98","98","26155","3874","89","89","1","246412","246412","0","0.9399871826171875","0.651685393258427","0.651685393258427","0.06575963718820861","0.7891156462585035","0.08333333333333333","0.054307116104868915","acc16_gyro_hr","overlapping","protocol12","protocol"
