dataset,feature_set,protocol,family,model,fold,test_subject,perturbation,severity,status,clean_accuracy,perturbed_accuracy,accuracy_drop,clean_macro_f1,perturbed_macro_f1,macro_f1_drop,most_affected_class,n_eval_samples,checkpoint_path
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,2,102,random_channel_dropout,low,ok,0.10989010989010989,0.10989010989010989,0.0,0.016501650165016504,0.016501650165016504,0.0,lying,4095.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,3,103,random_channel_dropout,low,ok,0.16100443131462333,0.16100443131462333,0.0,0.03466921119592875,0.03466921119592875,0.0,lying,2708.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,4,104,random_channel_dropout,low,ok,0.108085579327591,0.108085579327591,0.0,0.01950852557673019,0.01950852557673019,0.0,lying,3599.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,5,105,random_channel_dropout,low,ok,0.11779981114258735,0.11779981114258735,0.0,0.017564237944385778,0.017564237944385778,0.0,lying,4236.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,6,106,random_channel_dropout,low,ok,0.10290712631849755,0.10290712631849755,0.0,0.015550890288469016,0.015550890288469016,0.0,lying,3887.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,7,107,random_channel_dropout,low,ok,0.12690074647497926,0.12690074647497926,0.0,0.0204746186100455,0.0204746186100455,0.0,lying,3617.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,8,108,random_channel_dropout,low,ok,0.1204612365063788,0.1204612365063788,0.0,0.0179184001167798,0.0179184001167798,0.0,lying,4076.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,9,109,random_channel_dropout,low,ok,0.0,0.0,0.0,0.0,0.0,0.0,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,aggregate,aggregate,random_channel_dropout,low,ok,0.11490446703533229,0.11490446703533229,0.0,0.03081762574541368,0.03081762574541368,0.0,lying,30199.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,1,101,random_channel_dropout,medium,ok,0.08910636106103528,0.08910636106103528,0.0,0.013636005359817136,0.013636005359817136,0.0,lying,3883.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,2,102,random_channel_dropout,medium,ok,0.10989010989010989,0.10989010989010989,0.0,0.016501650165016504,0.016501650165016504,0.0,lying,4095.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,3,103,random_channel_dropout,medium,ok,0.16100443131462333,0.16100443131462333,0.0,0.03466921119592875,0.03466921119592875,0.0,lying,2708.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,4,104,random_channel_dropout,medium,ok,0.108085579327591,0.108085579327591,0.0,0.01950852557673019,0.01950852557673019,0.0,lying,3599.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,5,105,random_channel_dropout,medium,ok,0.11779981114258735,0.11779981114258735,0.0,0.017564237944385778,0.017564237944385778,0.0,lying,4236.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,6,106,random_channel_dropout,medium,ok,0.10290712631849755,0.10290712631849755,0.0,0.015550890288469016,0.015550890288469016,0.0,lying,3887.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,7,107,random_channel_dropout,medium,ok,0.12690074647497926,0.12690074647497926,0.0,0.0204746186100455,0.0204746186100455,0.0,lying,3617.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,8,108,random_channel_dropout,medium,ok,0.1204612365063788,0.1204612365063788,0.0,0.0179184001167798,0.0179184001167798,0.0,lying,4076.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,9,109,random_channel_dropout,medium,ok,0.0,0.0,0.0,0.0,0.0,0.0,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,aggregate,aggregate,random_channel_dropout,medium,ok,0.11490446703533229,0.11490446703533229,0.0,0.03081762574541368,0.03081762574541368,0.0,lying,30199.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,1,101,random_channel_dropout,high,ok,0.08910636106103528,0.08910636106103528,0.0,0.013636005359817136,0.013636005359817136,0.0,lying,3883.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,2,102,random_channel_dropout,high,ok,0.10989010989010989,0.10989010989010989,0.0,0.016501650165016504,0.016501650165016504,0.0,lying,4095.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,3,103,random_channel_dropout,high,ok,0.16100443131462333,0.16100443131462333,0.0,0.03466921119592875,0.03466921119592875,0.0,lying,2708.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,4,104,random_channel_dropout,high,ok,0.108085579327591,0.108085579327591,0.0,0.01950852557673019,0.01950852557673019,0.0,lying,3599.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,5,105,random_channel_dropout,high,ok,0.11779981114258735,0.11779981114258735,0.0,0.017564237944385778,0.017564237944385778,0.0,lying,4236.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,6,106,random_channel_dropout,high,ok,0.10290712631849755,0.10290712631849755,0.0,0.015550890288469016,0.015550890288469016,0.0,lying,3887.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,7,107,random_channel_dropout,high,ok,0.12690074647497926,0.12690074647497926,0.0,0.0204746186100455,0.0204746186100455,0.0,lying,3617.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,8,108,random_channel_dropout,high,ok,0.1204612365063788,0.1204612365063788,0.0,0.0179184001167798,0.0179184001167798,0.0,lying,4076.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,9,109,random_channel_dropout,high,ok,0.0,0.0,0.0,0.0,0.0,0.0,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,aggregate,aggregate,random_channel_dropout,high,ok,0.11490446703533229,0.11490446703533229,0.0,0.03081762574541368,0.03081762574541368,0.0,lying,30199.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,1,101,heart_rate_zero,low,ok,0.08910636106103528,0.08910636106103528,0.0,0.013636005359817136,0.013636005359817136,0.0,lying,3883.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,2,102,heart_rate_zero,low,ok,0.10989010989010989,0.10989010989010989,0.0,0.016501650165016504,0.016501650165016504,0.0,lying,4095.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,3,103,heart_rate_zero,low,ok,0.16100443131462333,0.16100443131462333,0.0,0.03466921119592875,0.03466921119592875,0.0,lying,2708.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,4,104,heart_rate_zero,low,ok,0.108085579327591,0.108085579327591,0.0,0.01950852557673019,0.01950852557673019,0.0,lying,3599.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,5,105,heart_rate_zero,low,ok,0.11779981114258735,0.11779981114258735,0.0,0.017564237944385778,0.017564237944385778,0.0,lying,4236.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,6,106,heart_rate_zero,low,ok,0.10290712631849755,0.10290712631849755,0.0,0.015550890288469016,0.015550890288469016,0.0,lying,3887.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,7,107,heart_rate_zero,low,ok,0.12690074647497926,0.12690074647497926,0.0,0.0204746186100455,0.0204746186100455,0.0,lying,3617.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,8,108,heart_rate_zero,low,ok,0.1204612365063788,0.1204612365063788,0.0,0.0179184001167798,0.0179184001167798,0.0,lying,4076.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,9,109,heart_rate_zero,low,ok,0.0,0.0,0.0,0.0,0.0,0.0,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,aggregate,aggregate,heart_rate_zero,low,ok,0.11490446703533229,0.11490446703533229,0.0,0.03081762574541368,0.03081762574541368,0.0,lying,30199.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,1,101,heart_rate_zero,medium,ok,0.08910636106103528,0.08910636106103528,0.0,0.013636005359817136,0.013636005359817136,0.0,lying,3883.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,2,102,heart_rate_zero,medium,ok,0.10989010989010989,0.10989010989010989,0.0,0.016501650165016504,0.016501650165016504,0.0,lying,4095.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,3,103,heart_rate_zero,medium,ok,0.16100443131462333,0.16100443131462333,0.0,0.03466921119592875,0.03466921119592875,0.0,lying,2708.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,4,104,heart_rate_zero,medium,ok,0.108085579327591,0.108085579327591,0.0,0.01950852557673019,0.01950852557673019,0.0,lying,3599.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,5,105,heart_rate_zero,medium,ok,0.11779981114258735,0.11779981114258735,0.0,0.017564237944385778,0.017564237944385778,0.0,lying,4236.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,6,106,heart_rate_zero,medium,ok,0.10290712631849755,0.10290712631849755,0.0,0.015550890288469016,0.015550890288469016,0.0,lying,3887.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,7,107,heart_rate_zero,medium,ok,0.12690074647497926,0.12690074647497926,0.0,0.0204746186100455,0.0204746186100455,0.0,lying,3617.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,8,108,heart_rate_zero,medium,ok,0.1204612365063788,0.1204612365063788,0.0,0.0179184001167798,0.0179184001167798,0.0,lying,4076.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,9,109,heart_rate_zero,medium,ok,0.0,0.0,0.0,0.0,0.0,0.0,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,aggregate,aggregate,heart_rate_zero,medium,ok,0.11490446703533229,0.11490446703533229,0.0,0.03081762574541368,0.03081762574541368,0.0,lying,30199.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,1,101,heart_rate_zero,high,ok,0.08910636106103528,0.08910636106103528,0.0,0.013636005359817136,0.013636005359817136,0.0,lying,3883.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,2,102,heart_rate_zero,high,ok,0.10989010989010989,0.10989010989010989,0.0,0.016501650165016504,0.016501650165016504,0.0,lying,4095.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,3,103,heart_rate_zero,high,ok,0.16100443131462333,0.16100443131462333,0.0,0.03466921119592875,0.03466921119592875,0.0,lying,2708.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,4,104,heart_rate_zero,high,ok,0.108085579327591,0.108085579327591,0.0,0.01950852557673019,0.01950852557673019,0.0,lying,3599.0,
pamap2,acc16_hr,loso,baseline,dummy_most_frequent,5,105,heart_rate_zero,high,ok,0.11779981114258735,0.11779981114258735,0.0,0.017564237944385778,0.017564237944385778,0.0,lying,4236.0,
