Subject,Dataset,Model,Accuracy,Macro_F1,Balanced_Accuracy,Worst_Activity,Dominant_Confusion,Missingness,Activity_Imbalance,Sensor_Variability
101,pamap2,CNN1D,0.768595041322314,0.7803700902966711,0.7749818801927897,sitting,lying→ironing,0.0,0.1089876033052221,1.0017585754394531
102,pamap2,CNN1D,0.7269607843137255,0.754754556182695,0.7460806508946521,sitting,cycling→standing,0.0,0.1240196078425293,1.0021624565124512
103,pamap2,CNN1D,0.7948148148148149,0.6384723163164114,0.7988461577112456,walking,lying→sitting,0.0,0.1666666666654321,0.9973679184913636
104,pamap2,CNN1D,0.7582172701949861,0.7561400016609452,0.7602096478818304,walking,lying→sitting,0.0,0.1381615598878097,0.9988017678260804
105,pamap2,CNN1D,0.8398863098057793,0.8456944997241863,0.8406598483339517,lying,lying→ironing,0.0,0.1217432496441414,1.0003172159194946
106,pamap2,CNN1D,0.8595766649457924,0.7858755758721108,0.8039475575008893,house_cleaning,ironing→sitting,0.0,0.1512648425392294,1.0010173320770264
107,pamap2,CNN1D,0.8756936736958935,0.8674657774964536,0.865824185153518,house_cleaning,sitting→lying,0.0,0.1453940066584606,0.9993718862533568
108,pamap2,CNN1D,0.3315270935960591,0.2832685440853091,0.3177938257395006,walking,standing→car_driving,0.0,0.1261083743836152,0.99944669008255
109,pamap2,CNN1D,0.75,0.1714285714285714,0.75,transient,house_cleaning→cycling,0.0,0.9999999997916666,1.0307382345199585
101,pamap2,Flatten_LSTM,0.8549222797927462,0.8537616609312124,0.8542104341736695,transient,transient→lying,0.0,0.1089876033052221,1.0017585754394531
102,pamap2,Flatten_LSTM,0.7647058823529411,0.6789195761356023,0.7225618452020054,car_driving,car_driving→computer_work,0.0,0.1240196078425293,1.0021624565124512
103,pamap2,Flatten_LSTM,0.7703703703703704,0.6174145415742054,0.7949774277299853,walking,ironing→vacuum_cleaning,0.0,0.1666666666654321,0.9973679184913636
104,pamap2,Flatten_LSTM,0.8044692737430168,0.6907329387879672,0.7817079487420044,walking,lying→sitting,0.0,0.1381615598878097,0.9988017678260804
105,pamap2,Flatten_LSTM,0.7867298578199052,0.7765325329843596,0.789326256818517,car_driving,lying→transient,0.0,0.1217432496441414,1.0003172159194946
106,pamap2,Flatten_LSTM,0.7927461139896373,0.7505286264664925,0.7864837446280277,house_cleaning,walking→car_driving,0.0,0.1512648425392294,1.0010173320770264
107,pamap2,Flatten_LSTM,0.8,0.7491146937397101,0.785106024483495,house_cleaning,vacuum_cleaning→ironing,0.0,0.1453940066584606,0.9993718862533568
108,pamap2,Flatten_LSTM,0.7635467980295566,0.6783801927598919,0.7099864697976828,walking,walking→car_driving,0.0,0.1261083743836152,0.99944669008255
109,pamap2,Flatten_LSTM,0.5,0.3333333333333333,0.5,transient,house_cleaning→car_driving,0.0,0.9999999997916666,1.0307382345199585
101,pamap2,Improved_GNN_LSTM,0.7927461139896373,0.7290930601800468,0.7442664565826331,house_cleaning,car_driving→walking,0.0,0.1089876033052221,1.0017585754394531
102,pamap2,Improved_GNN_LSTM,0.8186274509803921,0.7661635681123847,0.7922545013148561,house_cleaning,house_cleaning→computer_work,0.0,0.1240196078425293,1.0021624565124512
103,pamap2,Improved_GNN_LSTM,0.8444444444444444,0.8605584012656381,0.8730782085561497,walking,lying→sitting,0.0,0.1666666666654321,0.9973679184913636
104,pamap2,Improved_GNN_LSTM,0.8435754189944135,0.7544299678723181,0.8284434485363278,walking,lying→sitting,0.0,0.1381615598878097,0.9988017678260804
105,pamap2,Improved_GNN_LSTM,0.7962085308056872,0.6934110437124535,0.717787695620513,house_cleaning,sitting→ironing,0.0,0.1217432496441414,1.0003172159194946
106,pamap2,Improved_GNN_LSTM,0.8290155440414507,0.7828975231276104,0.7894998075125116,house_cleaning,ironing→vacuum_cleaning,0.0,0.1512648425392294,1.0010173320770264
107,pamap2,Improved_GNN_LSTM,0.8388888888888889,0.7798560933127494,0.8313430274892727,house_cleaning,vacuum_cleaning→ironing,0.0,0.1453940066584606,0.9993718862533568
108,pamap2,Improved_GNN_LSTM,0.7980295566502463,0.7143246429006385,0.7251443221580521,house_cleaning,sitting→lying,0.0,0.1261083743836152,0.99944669008255
109,pamap2,Improved_GNN_LSTM,0.0,0.0,0.0,transient,house_cleaning→standing,0.0,0.9999999997916666,1.0307382345199585
