Subject,Dataset,Model,Accuracy,Macro_F1,Balanced_Accuracy,Worst_Activity,Dominant_Confusion,Missingness,Activity_Imbalance,Sensor_Variability
d,hhar,CNN1D,0.6152,0.5704843381857277,0.5883343326248938,walk,walk→stairsdown,0.0,0.2053999999995892,0.9598369598388672
e,hhar,CNN1D,0.5468,0.5212990490355837,0.5438162131919066,walk,stairsdown→bike,0.0,0.1955999999996088,0.9885141253471376
f,hhar,CNN1D,0.655,0.6171711295443568,0.6454700676481647,walk,walk→stairsdown,0.0,0.1861999999996276,0.998615860939026
g,hhar,CNN1D,0.602,0.5817447516929298,0.5956037380720548,stand,stairsdown→walk,0.0,0.21499999999957,0.978895664215088
h,hhar,CNN1D,0.6066,0.6232976585309008,0.6120951843448891,walk,bike→walk,0.0,0.185999999999628,0.9799014329910278
i,hhar,CNN1D,0.6038,0.5697556309805555,0.5978229482062108,stairsup,stairsup→bike,0.0,0.198999999999602,0.9665021300315856
a,hhar,Flatten_LSTM,0.404,0.3393738328293249,0.4111864758359435,sit,sit→stairsup,0.0,0.1935999999996128,0.978465735912323
b,hhar,Flatten_LSTM,0.596,0.5591074134820505,0.6037140422796793,walk,stairsdown→stand,0.0,0.2015999999995968,1.003485918045044
c,hhar,Flatten_LSTM,0.438,0.395709095009418,0.4629775221977527,walk,stairsdown→stand,0.0,0.1885999999996228,0.9956859946250916
d,hhar,Flatten_LSTM,0.586,0.5351989299048667,0.5932524008331961,walk,walk→stand,0.0,0.2053999999995892,0.9598369598388672
e,hhar,Flatten_LSTM,0.606,0.5614681669263882,0.5759464199181906,stand,stand→stairsdown,0.0,0.1955999999996088,0.9885141253471376
f,hhar,Flatten_LSTM,0.508,0.4708513526247516,0.5086268133923685,walk,walk→stairsdown,0.0,0.1861999999996276,0.998615860939026
g,hhar,Flatten_LSTM,0.584,0.5296950336032691,0.5548740998667822,walk,stand→stairsdown,0.0,0.21499999999957,0.978895664215088
h,hhar,Flatten_LSTM,0.534,0.4973521360262329,0.5505200339480071,walk,walk→stand,0.0,0.185999999999628,0.9799014329910278
i,hhar,Flatten_LSTM,0.5,0.436889309063391,0.4998230712674518,stairsdown,stairsdown→bike,0.0,0.198999999999602,0.9665021300315856
a,hhar,Improved_GNN_LSTM,0.442,0.3355063919886958,0.4244473897908456,stand,sit→stairsup,0.0,0.1935999999996128,0.978465735912323
b,hhar,Improved_GNN_LSTM,0.644,0.5498995431405782,0.6200908578712815,stand,walk→stairsdown,0.0,0.2015999999995968,1.003485918045044
c,hhar,Improved_GNN_LSTM,0.464,0.3444668098049741,0.4606248372094872,stand,walk→stairsdown,0.0,0.1885999999996228,0.9956859946250916
d,hhar,Improved_GNN_LSTM,0.622,0.5804135953020818,0.6084417637049344,walk,walk→stairsdown,0.0,0.2053999999995892,0.9598369598388672
e,hhar,Improved_GNN_LSTM,0.466,0.3649980274239958,0.4674730746732339,stand,stairsdown→walk,0.0,0.1955999999996088,0.9885141253471376
f,hhar,Improved_GNN_LSTM,0.476,0.4335431922623219,0.4806372781036364,stand,stairsdown→walk,0.0,0.1861999999996276,0.998615860939026
g,hhar,Improved_GNN_LSTM,0.6,0.5278035794018929,0.5686126183603707,stand,stairsdown→bike,0.0,0.21499999999957,0.978895664215088
h,hhar,Improved_GNN_LSTM,0.512,0.4625676241015006,0.5205119944155827,walk,walk→stand,0.0,0.185999999999628,0.9799014329910278
i,hhar,Improved_GNN_LSTM,0.58,0.5123106912813994,0.5858797684248084,stand,stairsdown→bike,0.0,0.198999999999602,0.9665021300315856
