Dataset,Perturbation,Severity,Model,Clean_Accuracy,Perturbed_Accuracy,Accuracy_Drop,Clean_Macro_F1,Perturbed_Macro_F1,Macro_F1_Drop,Most_Affected_Class
hhar,remove_one_sensor_node,low,CNN1D,0.6131111111111112,0.5246666666666666,0.0884444444444445,0.6066841883099187,0.5029194891707008,0.1037646991392178,walk
hhar,remove_one_sensor_node,medium,CNN1D,0.6131111111111112,0.5246666666666666,0.0884444444444445,0.6066841883099187,0.5029194891707008,0.1037646991392178,walk
hhar,remove_one_sensor_node,high,CNN1D,0.6131111111111112,0.5246666666666666,0.0884444444444445,0.6066841883099187,0.5029194891707008,0.1037646991392178,walk
hhar,remove_heart_rate_channel,low,CNN1D,0.6131111111111112,not_applicable,not_applicable,0.6066841883099187,not_applicable,not_applicable,not_applicable
hhar,remove_heart_rate_channel,medium,CNN1D,0.6131111111111112,not_applicable,not_applicable,0.6066841883099187,not_applicable,not_applicable,not_applicable
hhar,remove_heart_rate_channel,high,CNN1D,0.6131111111111112,not_applicable,not_applicable,0.6066841883099187,not_applicable,not_applicable,not_applicable
hhar,gaussian_noise,low,CNN1D,0.6131111111111112,0.5821777777777778,0.0309333333333333,0.6066841883099187,0.56966552430589,0.0370186640040286,stand
hhar,gaussian_noise,medium,CNN1D,0.6131111111111112,0.5518,0.0613111111111112,0.6066841883099187,0.5460632454035156,0.060620942906403,stairsup
hhar,gaussian_noise,high,CNN1D,0.6131111111111112,0.5298222222222222,0.0832888888888889,0.6066841883099187,0.5161713433631565,0.0905128449467621,stand
hhar,mask_random_channels,low,CNN1D,0.6131111111111112,0.5246666666666666,0.0884444444444445,0.6066841883099187,0.5029194891707008,0.1037646991392178,walk
hhar,mask_random_channels,medium,CNN1D,0.6131111111111112,0.5246666666666666,0.0884444444444445,0.6066841883099187,0.5029194891707008,0.1037646991392178,walk
hhar,mask_random_channels,high,CNN1D,0.6131111111111112,0.5246666666666666,0.0884444444444445,0.6066841883099187,0.5029194891707008,0.1037646991392178,walk
hhar,remove_random_windows,low,CNN1D,0.6131111111111112,0.1127687906884987,0.5003423204226124,0.6066841883099187,0.1087000749666785,0.4979841133432401,sit
hhar,remove_random_windows,medium,CNN1D,0.6131111111111112,0.1633294196046076,0.4497816915065035,0.6066841883099187,0.1608617935838911,0.4458223947260274,sit
hhar,remove_random_windows,high,CNN1D,0.6131111111111112,0.1935227673843981,0.419588343726713,0.6066841883099187,0.1840623069197388,0.4226218813901798,stairsup
hhar,missing_heart_rate_signals,low,CNN1D,0.6131111111111112,not_applicable,not_applicable,0.6066841883099187,not_applicable,not_applicable,not_applicable
hhar,missing_heart_rate_signals,medium,CNN1D,0.6131111111111112,not_applicable,not_applicable,0.6066841883099187,not_applicable,not_applicable,not_applicable
hhar,missing_heart_rate_signals,high,CNN1D,0.6131111111111112,not_applicable,not_applicable,0.6066841883099187,not_applicable,not_applicable,not_applicable
hhar,remove_one_sensor_node,low,Flatten_LSTM,0.5284444444444445,0.4551111111111111,0.0733333333333333,0.5002440660184072,0.4176594580811638,0.0825846079372433,stairsup
hhar,remove_one_sensor_node,medium,Flatten_LSTM,0.5284444444444445,0.4551111111111111,0.0733333333333333,0.5002440660184072,0.4176594580811638,0.0825846079372433,stairsup
hhar,remove_one_sensor_node,high,Flatten_LSTM,0.5284444444444445,0.4551111111111111,0.0733333333333333,0.5002440660184072,0.4176594580811638,0.0825846079372433,stairsup
hhar,remove_heart_rate_channel,low,Flatten_LSTM,0.5284444444444445,not_applicable,not_applicable,0.5002440660184072,not_applicable,not_applicable,not_applicable
hhar,remove_heart_rate_channel,medium,Flatten_LSTM,0.5284444444444445,not_applicable,not_applicable,0.5002440660184072,not_applicable,not_applicable,not_applicable
hhar,remove_heart_rate_channel,high,Flatten_LSTM,0.5284444444444445,not_applicable,not_applicable,0.5002440660184072,not_applicable,not_applicable,not_applicable
hhar,gaussian_noise,low,Flatten_LSTM,0.5284444444444445,0.5406666666666666,-0.0122222222222221,0.5002440660184072,0.5084335893011156,-0.0081895232827083,stand
hhar,gaussian_noise,medium,Flatten_LSTM,0.5284444444444445,0.5324444444444445,-0.004,0.5002440660184072,0.5137887011315133,-0.0135446351131061,bike
hhar,gaussian_noise,high,Flatten_LSTM,0.5284444444444445,0.4944444444444444,0.034,0.5002440660184072,0.4730719522160885,0.0271721138023187,bike
hhar,mask_random_channels,low,Flatten_LSTM,0.5284444444444445,0.4551111111111111,0.0733333333333333,0.5002440660184072,0.4176594580811638,0.0825846079372433,stairsup
hhar,mask_random_channels,medium,Flatten_LSTM,0.5284444444444445,0.4551111111111111,0.0733333333333333,0.5002440660184072,0.4176594580811638,0.0825846079372433,stairsup
hhar,mask_random_channels,high,Flatten_LSTM,0.5284444444444445,0.4551111111111111,0.0733333333333333,0.5002440660184072,0.4176594580811638,0.0825846079372433,stairsup
hhar,remove_random_windows,low,Flatten_LSTM,0.5284444444444445,0.1585185185185185,0.369925925925926,0.5002440660184072,0.1556561665438915,0.3445878994745157,sit
hhar,remove_random_windows,medium,Flatten_LSTM,0.5284444444444445,0.1646535282898919,0.3637909161545525,0.5002440660184072,0.1527146953722038,0.3475293706462034,bike
hhar,remove_random_windows,high,Flatten_LSTM,0.5284444444444445,0.1741051701281484,0.354339274316296,0.5002440660184072,0.1667927979168748,0.3334512681015323,stairsup
hhar,missing_heart_rate_signals,low,Flatten_LSTM,0.5284444444444445,not_applicable,not_applicable,0.5002440660184072,not_applicable,not_applicable,not_applicable
hhar,missing_heart_rate_signals,medium,Flatten_LSTM,0.5284444444444445,not_applicable,not_applicable,0.5002440660184072,not_applicable,not_applicable,not_applicable
hhar,missing_heart_rate_signals,high,Flatten_LSTM,0.5284444444444445,not_applicable,not_applicable,0.5002440660184072,not_applicable,not_applicable,not_applicable
hhar,remove_one_sensor_node,low,Improved_GNN_LSTM,0.534,0.4793333333333333,0.0546666666666667,0.5088553702795129,0.4356948600762284,0.0731605102032844,stairsup
hhar,remove_one_sensor_node,medium,Improved_GNN_LSTM,0.534,0.4793333333333333,0.0546666666666667,0.5088553702795129,0.4356948600762284,0.0731605102032844,stairsup
hhar,remove_one_sensor_node,high,Improved_GNN_LSTM,0.534,0.4793333333333333,0.0546666666666667,0.5088553702795129,0.4356948600762284,0.0731605102032844,stairsup
